Database ID,_166_1,_166_2,_181_1,_181_2,_182_1,_182_2,_207_1,_207_2,Reef,Region,Species,Final Clonal ID,Tube ID,Sample ID,,,,,,,,,,,
15048,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15048,N48,,,,,,,,,,,
15049,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15049,N49,,,,,,,,,,,
15050,143,146,159,159,158,167,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1713 ,15050,N50,,,,,,,,,,,
15051,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15051,N51,,,,,,,,,,,
15052,143,146,159,159,158,167,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1713 ,15052,N52,,,,,,,,,,,
15053,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15053,N53,,,,,,,,,,,
15054,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15054,N54,,,,,,,,,,,
15055,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15055,N55,,,,,,,,,,,
15056,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15056,N56,,,,,,,,,,,
15057,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15057,N57,,,,,,,,,,,
15058,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15058,N58,,,,,,,,,,,
15059,143,146,162,162,158,158,,,Luis Pena,PuertoRico,Acropora cervicornis,,15059,N59,,,,,,,,,,,
15060,143,146,159,159,158,167,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1713 ,15060,N60,,,,,,,,,,,
15061,143,146,159,159,158,167,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1713 ,15061,N61,,,,,,,,,,,
15062,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15062,N62,,,,,,,,,,,
15063,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15063,N63,,,,,,,,,,,
15064,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15064,N64,,,,,,,,,,,
15065,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15065,N65,,,,,,,,,,,
15066,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15066,N66,,,,,,,,,,,
15067,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15067,N67,,,,,,,,,,,
15068,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,15068,N68,,,,,,,,,,,
15069,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15069,N69,,,,,,,,,,,
15070,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15070,N70,,,,,,,,,,,
15071,146,146,159,171,161,164,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1742 ,15071,N71,,,,,,,,,,,
15072,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15072,N72,,,,,,,,,,,
15073,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15073,N73,,,,,,,,,,,
15074,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15074,N74,,,,,,,,,,,
15075,146,146,162,174,158,158,158,161,Carlos Rosario,PuertoRico,Acropora cervicornis, C1745 ,15075,N75,,,,,,,,,,,
15076,140,146,162,186,158,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1692 ,15076,N76,,,,,,,,,,,
15077,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15077,N77,,,,,,,,,,,
15078,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15078,N78,,,,,,,,,,,
15079,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,15079,N79,,,,,,,,,,,
15080,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15080,N80,,,,,,,,,,,
15081,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15081,N81,,,,,,,,,,,
15082,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15082,N82,,,,,,,,,,,
15083,146,146,159,162,158,161,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1738 ,15083,N83,,,,,,,,,,,
15084,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15084,N84,,,,,,,,,,,
15085,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15085,N85,,,,,,,,,,,
15086,140,146,162,174,149,158,161,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1691 ,15086,N86,,,,,,,,,,,
15087,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15087,N87,,,,,,,,,,,
15088,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,15088,N88,,,,,,,,,,,
15089,146,146,159,171,161,164,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1742 ,15089,N89,,,,,,,,,,,
15090,143,146,162,165,155,167,158,164,Carlos Rosario,PuertoRico,Acropora cervicornis, C1722 ,15090,N90,,,,,,,,,,,
15091,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,15091,N91,,,,,,,,,,,
15092,143,146,165,174,158,161,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1728 ,15092,N92,,,,,,,,,,,
15093,146,146,159,171,161,164,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1742 ,15093,N93,,,,,,,,,,,
15094,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,15094,N94,,,,,,,,,,,
15095,143,149,162,177,158,167,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1735 ,15095,N95,,,,,,,,,,,
15096,146,146,177,180,158,161,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1748 ,15096,N96,,,,,,,,,,,
15097,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15097,N97,,,,,,,,,,,
15098,143,146,174,180,161,161,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1732 ,15098,N98,,,,,,,,,,,
15099,146,146,177,180,158,161,158,161,Carlos Rosario,PuertoRico,Acropora cervicornis, C1749 ,15099,N99,,,,,,,,,,,
15100,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,15100,N100,,,,,,,,,,,
15412,143,143,168,180,161,173,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1705 ,PR201,V1,,,,,,,,,,,
15413,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,PR202,V2,,,,,,,,,,,
15414,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,PR203,V3,,,,,,,,,,,
15415,146,146,159,165,143,149,158,173,Carlos Rosario,PuertoRico,Acropora cervicornis, C1739 ,PR204,V4,,,,,,,,,,,
15416,143,143,174,174,158,158,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1708 ,PR205,V5,,,,,,,,,,,
15417,143,143,168,180,161,173,158,158,Carlos Rosario,PuertoRico,Acropora cervicornis, C1705 ,PR206,V6,,,,,,,,,,,
